"Employer Name","CBA File","Location","Union","Expiration Date","NAICS*","#Wrkrs","Type"
"COMMUNITY FIRST HOLDINGS, INC. DBA TRIBUNE-STAR PUBLISHING COMPANY/COMMUNITY NEWSPAPERS HOLDINGS, INC. (NHI)/TRIBUNE-STAR, THE",3970,"IN","TEAMSTERS (IBT) 135 ","Dec 31, 2019",,,"PRIVATE"
"COMMUNITY HOSPITAL AT DOBBYS FERRY",2500,"NY"," (SEIU) 1199","Dec 31, 2007",,,"PRIVATE"
"COMMUNITY MEMORIAL HOSPITAL (DIAGNOSTIC)",4047,"MN","SERVICE EMPLOYEES (SEIU) NATL CONFERENCE OF FIREMEN & OILERS","Mar 31, 2021",,,"PRIVATE"
"COMMUNITY MEMORIAL HOSPITAL (ENGINEERS)",4053,"MN","SERVICE EMPLOYEES (SEIU) NATL CONFERENCE OF FIREMEN & OILERS","Apr 30, 2022",,,"PRIVATE"
"COMMUNITY MEMORIAL HOSPITAL (LABORATORY)",4052,"MN","ENGINEERS, OPERATING, AFL-CIO (IUOE) 70 ","Sep 30, 2022",,,"PRIVATE"
"COMMUNITY MEMORIAL HOSPITAL (LPN)",4051,"MN","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) 105 MLPNA/STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) 65 MINNESOTA","Nov 30, 2022",,,"PRIVATE"
"COMMUNITY NEWSPAPER HOLDINGS, INC. DBA TRIBUNE-STAR PUBLISHING COMPANY/TRIBUNE-STAR, THE (PRESS)",3968,"IN","GRAPHIC COMMUNICATIONS , IBT 17M","Apr 30, 2018",,,"PRIVATE"
"COMMUNITY PRINTERS",4491,"CA","PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N (PPPWU) 388 M ","May 31, 2027",,,"PRIVATE"
"COMMUNITY RENEWAL TEAM, INC.",4311,"CT","FOOD AND COMMERCIAL WKRS (UFCW) 919 UNITED FOOD&COMM. WORKERS LOCAL 919","Dec 31, 2023",,,"PRIVATE"
"COMPASS FORWARDING COMPANY, INC.",8,"NY","TEAMSTERS (IBT) 295 ","Aug 31, 2027",,"1","PRIVATE"
"COMPTON UNIFIED SCHOOL DISTRICT (TEACHERS)",3294,"CA COMPTON"," (NEA) CEA","Jun 30, 2003","611110","1479","PUBLIC"
"CONAGRA BEEF COMPANY",1756,"CO"," (UFCWU) -","Nov 21, 2004","23731","1500","PRIVATE"
"CONAGRA FOODS COMPANY, INC",1183,"CO"," (UF, IBT) -","Jul 16, 2006","23731","1500","PRIVATE"
"CONAGRA FOODS, INC",70,"PA"," (UFCWU) -","Feb 7, 2010","23731","1500","PRIVATE"
"CONCRETE CONTRACTORS ASSOCIATION OF GREATER CHICAGO",1397,"IL"," (LIUNA) -","May 31, 2006","23731","1500","PRIVATE"
"CONCRETE CONTRACTORS ASSOCIATION OF GREATER CHICAGO",2411,"IL","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 11/PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 502","May 31, 2021",,,"PRIVATE"
"CONDOMINIUM COOPERATIVE EMPLOYERS COUNCIL",2041,"SAN FRANCISCO","SERVICE EMPLOYEES (SEIU) 1877","Sep 30, 2012",,,"PRIVATE"
"CONNECTICUT CLEANING CONTRACTORS ASSOCIATION (HARTFORD-CONNECTICUT)",4746,"CT","SERVICE EMPLOYEES (SEIU) 32 BJ MOTOR VEHICLE INSPECTORS DIVISION","Dec 31, 2027",,,"PRIVATE"
"CONNECTICUT COMM TECH COLLEGES (FAC & NONFAC)",3246,"CT","CCCC/AFT/AF ","Jun 30, 2007","611210","2000","PUBLIC"
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION",1263,"CT","LABORERS  (LIUNA) 146/LABORERS  (LIUNA) 230/LABORERS  (LIUNA) 455/LABORERS  (LIUNA) 611/LABORERS  (LIUNA) 665/LABORERS  (LIUNA) 675","Mar 31, 2012","23731","1500","PRIVATE"
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION & AGC (HVY-HWY)",986,"CT HARTFORD"," (UBC) 24,43,210","Apr 30, 2006","23731","3000","PRIVATE"
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION & AGC (HVY-HWY)",1258,"CT","TEAMSTERS (IBT) 10","Mar 31, 2005","23731","1100","PRIVATE"
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION & AGC (HVY-HWY)",1261,"CT","LABORERS  (LIUNA) 0 CONNECTICUT","Mar 31, 2009","23731","1500","PRIVATE"
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION & AGC (HVY-HWY)",1262,"CT","LABORERS  (LIUNA) 0 CONNECTICUT","Mar 31, 2005","23731","1500","PRIVATE"
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION, INC.",1394,"CONNECTICUT","ENGINEERS, OPERATING, AFL-CIO (IUOE) 478","Mar 31, 2014",,,"PRIVATE"
"CONNECTICUT CONSTRUCTION INDUSTRIES ASSOCIATION, INC.",1491,"CT","TEAMSTERS (IBT) 10 /TEAMSTERS (IBT) 191 /TEAMSTERS (IBT) 493 /TEAMSTERS (IBT) 559 GROCERY BAKERY CONSTRUCTION DRIVERS & HELPERS/TEAMSTERS (IBT) 677 ","Mar 31, 2005",,,"PRIVATE"
"CONNECTICUT LIGHT & POWER CO (NE UTILITIES CO)",494,"CT","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) 420/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) 457","Jun 1, 2004","22111","800","PRIVATE"
"CONNECTICUT STATE (ADMIN & RESIDUAL-UNIT P5)",2730,"CT"," (AFT) 4200","Jun 30, 2003","921190","3400","PUBLIC"
"CONNECTICUT STATE (ADMIN & RESIDUAL-UNIT)",2731,"CT"," (AFT) 4200","Jun 30, 2007","921190","3400","PUBLIC"
"CONNECTICUT STATE (COMMISSIONER OF ADMIN SERVICES)",2707,"CT","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) 4 CONNECTICUT & SPECIAL DISTRICT EMPL","Jun 30, 2008","922140","5100","PUBLIC"
"CONNECTICUT STATE (EDUC PROFS-UNIT P3B)",2908,"CT"," (SEIU) CSEA","Jun 30, 2005","921190","1050","PUBLIC"
"CONNECTICUT STATE (ENGRS, SCIENTISTS-UNIT P4)",2909,"CT"," (SEIU) CSEA","Jun 30, 2005","921190","2900","PUBLIC"
"CONNECTICUT STATE (HEALTH CARE-UNITS P1 & NP6)",39,"CT","SERVICE EMPLOYEES (SEIU) 1199 NEW ENGLAND HEALTH CARE EMPL UNION","Jun 30, 2005","622","7350","PRIVATE"
"CONNECTICUT STATE (POLICE-UNIT NP1)",2793,"CT"," (CSPA-I) ","Jun 30, 2004","922120","1000","PUBLIC"
"CONNECTICUT STATE (PROTECTIVE SERVICES-UNIT NP-5)",3201,"CT","IUPA/IAFF PSC","Jun 30, 2008","921190","3500","PUBLIC"
"CONNECTICUT STATE (SOCL & HUMN SVCS-UNIT P2)",3459,"CT","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) 4 CONNECTICUT & SPECIAL DISTRICT EMPL","Jun 30, 2006","624","3900","PUBLIC"
"CONNECTICUT STATE BOARD OF EDUCATION",36,"CT"," (AFT) 4200A","Aug 31, 2011","611110","1000","PRIVATE"
"CONNECTICUT STATE BOARD OF EDUCATION (VOC TEACHERS)",35,"CT"," (AFT) 4200A","Aug 31, 2007","611110","1000","PRIVATE"
"CONNECTICUT STATE JUDICIAL BRANCH (NON PROFESSIONALS)",37,"CT","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) 749 CSEA -- ALFRED COLLEGE OF CERAMICS","Jun 30, 2006","922110","1400","PRIVATE"
"CONNECTICUT, GENERAL CONTRACTORS OF",3592,"CT"," (BAC) DC NOTHERN CONNECTICUT","Mar 31, 1984",,,"PUBLIC"
"CONNECTICUT, STATE OF (ASSIS. ATTORNEYS GENERAL / ASSIS. ATTORNEYS GENERAL DEPARTMENT HEADS)",4635,"CT","TEACHERS AFL-CIO (AFT) CONNECTICUT STATE","Jun 30, 2025",,,"PUBLIC"
"CONNECTICUT, STATE OF/WINCHESTER, TOWN OF (DEPARTMENT HEAD ASSISTANTS, SECRETARIES, RECEPTIONISTS & CLERICAL)/WINSTED, CITY OF",4112,"CT","UNITED PUBLIC SERVICE EMPLOYEES UNION ","Jun 30, 2025",,,"PUBLIC"
"CONNECTICUT, UNIVERSITY OF BOARD OF TRUSTEES (FACULTY)",3257,"CT STORRS"," (AAUP-I) ","Jan 1, 1800","611310","1250","PUBLIC"
"CONNECTICUT, UNIVERSITY OF BOARD OF TRUSTEES (FACULTY)",3258,"CT STORRS"," (AAUP-I) ","Jun 30, 2006","611310","1250","PUBLIC"
"CONNECTICUT, UNIVERSITY OF BOARD OF TRUSTEES (PROFESSIONALS)",2895,"CT STORRS"," (AFT) UPCEA 3695","Jun 30, 2005","611310","1000","PUBLIC"
"CONSOLIDATED EDISON CO. OF NEW YORK",495,"NY","UTILITY WORKERS AFL-CIO (UWU) 1 2","Jun 26, 2004","221","8600","PRIVATE"
"CONSOLIDATED PAPER, INC.",118,"WI","USWA/PACE -","Apr 30, 2005","322121","2600","PRIVATE"
"CONSTRUC IND COUN OF WESTCH & HUDSN VLLY (HVY-HWY-ENGR)",1492,"NY","ENGINEERS, OPERATING, AFL-CIO (IUOE) 137","Mar 6, 2005","23731","1000","PRIVATE"
"CONSTRUCTION CONTRACTORS & EMPLOYERS",1054,"ME NH VT"," (UBC) 1996","Sep 30, 2006","23621","1500","PRIVATE"
"CONSTRUCTION CONTRACTORS ASSOCIATION OF HUDSON VALLEY (BLDG)",1581,"NY NEWBURGH","LABORERS  (LIUNA) 17","May 31, 2007","23622","1000","PRIVATE"
"CONSTRUCTION CONTRACTORS ASSOCIATION OF HUDSON VALLEY (NON-RES)",1044,"NY NEWBURGH"," (UBC) RC, UPSTATE NY","May 31, 2006","23622","3000","PRIVATE"
"CONSTRUCTION CONTRACTORS ASSOCIATION OF HUDSON VALLEY (RESID)",989,"NY HUDSON VALLEY","LABORERS  (LIUNA) 17","May 31, 2005","2361","1000","PRIVATE"
"CONSTRUCTION CONTRACTORS ASSOCIATION OF HUDSON VALLEY (RESIDENTIAL)",988,"NY","LABORERS  (LIUNA) 17","May 31, 2009","2361","1000","PRIVATE"
"CONSTRUCTION CONTRACTORS COUNCIL, AGC LABOR DIV",1200,"DC VA MD"," (UBC) DC RC","Apr 30, 2004","23622","4000","PRIVATE"
"CONSTRUCTION CONTRACTORS LABOR EMPLOYEES OF NJ & AGC, NJ",1461,"NJ"," (UBC) 1456","Apr 30, 2007",,,"PRIVATE"
"CONSTRUCTION EMPLOYERS",984,"NY BUFFALO"," (UBC) EMPIRE ST RC","May 14, 2002","23621","1000","PRIVATE"
"CONSTRUCTION EMPLOYERS ASSOCIATION (BLDG)",1436,"OH CLEVELAND","LABORERS  (LIUNA) 310","Apr 30, 2005","23622","1700","PRIVATE"
"CONSTRUCTION EMPLOYERS ASSOCIATION (BLDG)",1618,"OH CLEVELAND","ENGINEERS, OPERATING, AFL-CIO (IUOE) 18","Apr 30, 2006","23622","3300","PRIVATE"
"CONSTRUCTION EMPLOYERS ASSOCIATION OF CENTRAL KY",998,"KY","ENGINEERS, OPERATING, AFL-CIO (IUOE) 181 ","May 31, 2006","23731","2800","PRIVATE"
"CONSTRUCTION EMPLOYERS ASSOCIATION OF CLEVELAND OHIO",2416,"OH","BRICKLAYERS AFL-CIO (BAC) 5 CLEVELAND OHIO","Apr 30, 2020",,,"PRIVATE"
"CONSTRUCTION EQUIPMENT RENTAL ASSOCIATION",1106,"DC METRO","ENGINEERS, OPERATING, AFL-CIO (IUOE) 77","Apr 30, 2005","2389","1000","PRIVATE"
"CONSTRUCTION INDUSTRIES COUNTIES OF WESTCHESTER & HUDSON VALLEY (HVY-HWY)",1675,"NY SOUTHEAST","LABORERS  (LIUNA) 60","Mar 31, 2007","23731","900","PRIVATE"
"CONSTRUCTION INDUSTRIES OF MA (HVY-HWY)",1259,"MA","ENGINEERS, OPERATING, AFL-CIO (IUOE) 4","May 31, 2005","23731","3600","PRIVATE"
"CONSTRUCTION INDUSTRIES OF MA (HVY-HWY)",1260,"MA"," (IBT) JC 10, 8 LOCALS","Jun 1, 2004","23731","1100","PRIVATE"
"CONSTRUCTION INDUSTRIES OF MASSACHUSETTS, INC",1257,"NY"," (IBT) -","May 31, 2008","23621",,"PRIVATE"
"CONSTRUCTION INDUSTRIES OF RI (HVY-HWY)",1045,"RI","CARPENTERS IND (CJA) 94","Jun 7, 2009","23731","1000","PRIVATE"
"CONSTRUCTION INDUSTRIES OF RI (HVY-HWY)",1046,"RI"," (UBC) 94","Jun 5, 2005","23731","1000","PRIVATE"
"CONSTRUCTION INDUSTRY ASSOCIATION OF ROCHESTER (COMML)",1048,"NY ROCHESTER"," (UBC) 85","Apr 30, 2006","23622","1300","PRIVATE"
"CONSTRUCTION INDUSTRY ASSOCIATION OF ROCHESTER, NY",1897,"NY ROCHESTER","CARPENTERS IND (CJA) 85","Apr 30, 2011","23731","1057","PRIVATE"
"CONSTRUCTION INDUSTRY ASSOCIATION-WAS BUILDING TRADES EMPLOYERS (COML)",1446,"NY ROCHESTER","LABORERS  (LIUNA) 435","Apr 30, 2006","23622","1100","PRIVATE"
"CONSTRUCTION INDUSTRY COUNCIL ET AL (HVY-HWY)",1456,"NY WESTCHESTER"," (UBC) 11, 964","Apr 30, 2004","23731","1200","PRIVATE"
"CONSTRUCTION INDUSTRY EMPLOYERS ASSOCIATION.",1202,"NY BUFFALO","LABORERS  (LIUNA) 210","Jun 30, 2007","23622","1800","PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PA",958,"PA","CARPENTERS IND (CJA) 2274","Dec 31, 2010","23622","1000","PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PA",959,"PA WESTERN"," (UBC) 2274","Dec 31, 2004","23622","1000","PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PA",1273,"PA WESTERN","TEAMSTERS (IBT) 40","Jan 1, 2008","23731","1000","PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PA",1623,"PA WESTERN","ENGINEERS, OPERATING, AFL-CIO (IUOE) 66","Dec 31, 2004","23622","6500","PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PA",1634,"PA WESTERN"," (LIUNA) 8 LOCALS","Dec 31, 2004","23622","8000","PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PENNSYLVANIA",2242,"PA","PILE DRIVERS 2235","Dec 30, 2004",,,"PRIVATE"
"CONSTRUCTORS ASSOCIATION OF WESTERN PENNSYLVANIA",2243,"PA","CEMENT MASONS 526","Dec 31, 2014",,,"PRIVATE"
"CONSTRUCTORS LABOR COUNCIL OF WEST VIRGINIA",1638,"WV"," (BSOIW) ","Nov 30, 2006",,,"PRIVATE"
"CONSTRUCTORS LABOR COUNCIL OF WEST VIRGINIA",1679,"WV"," (OPCM) ","Nov 30, 2006",,,"PRIVATE"
"CONSTRUCTORS' - AREA 438",1877,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 692","May 31, 2017","238140","1730","PRIVATE"
"CONSTRUCTORS' - AREA 438",1878,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 692","May 31, 2015","238140","1730","PRIVATE"
"CONSTRUCTORS' - AREA 438",1879,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 692","May 31, 2012","238140","1730","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1636,"WV MD OH KY"," (IABSORI) -","Nov 30, 2009","23731","1450","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1637,"WV MD OH KY"," (IABSORI) -","Dec 6, 2006","23731","1450","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1639,"WV"," (BSIOW) -","Dec 6, 2012","23731","1540","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1646,"WV MD OH KY","LABORERS  (LIUNA) 10 RESIDENT/HOUSING/CONSTRUCTION/LABORERS  (LIUNA) 149/LABORERS  (LIUNA) 379/LABORERS  (LIUNA) 453/LABORERS  (LIUNA) 543/LABORERS  (LIUNA) 984","Dec 6, 2012","23731","7300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1647,"WV MD OH KY"," (LIUNA) MULTI","Dec 6, 2005","23731","7300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1649,"WV"," (LIUNA) -","Dec 6, 2012","23731","7300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1651,"WV MD OH KY","ENGINEERS, OPERATING, AFL-CIO (IUOE) 132","Dec 6, 2005","23731","3200","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1652,"WV"," (IUOE) -","Dec 6, 2012","23731","3200","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1657,"WV","CARPENTERS IND (CJA) 2235","Nov 30, 2009","23731","4200","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1658,"WV MD OH KY"," (MARCC) -","Dec 6, 2006","23731","4200","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1659,"WV"," (CJA) -","Dec 6, 2012","23731","4200","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1676,"WV"," (OPCM) -","Nov 30, 2009","23731","1300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1677,"WV MD OH KY"," (OPCM) -","Dec 6, 2006","23731","1300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL",1680,"WV"," (OPCM) -","May 31, 2012","23731","1300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL OF WEST VA / OPCM",1678,"WV"," (OPCM) ","Dec 6, 2009","23731","1300","PRIVATE"
"CONSTRUCTORS' LABOR COUNCIL OF WEST VA IUOE",1650,"WV","ENGINEERS, OPERATING, AFL-CIO (IUOE) 132","Dec 6, 2006","23731","3200","PRIVATE"
"CONSUMERS ENERGY (WAS CONSUMERS POWER CO.)",496,"MI"," (UWUA) -","Jun 1, 2005","221","4000","PRIVATE"
"CONTINENTAL AIRLINES",1906,""," (IAM) ","Sep 2, 2012",,,"PRIVATE"
"CONTINENTAL AIRLINES, INC.",1903,"NY"," (ALPA) -","Dec 31, 2008","1111","50361","PRIVATE"
"CONTINENTAL AIRLINES, INC.",1904,"NY"," (IAM) -","Oct 1, 2004","22222","1000","PRIVATE"
"CONTINENTAL AIRLINES, INC.",1905,"IL"," (CWA/AFA) -","Dec 31, 2014",,"1000","PRIVATE"
"CONTRA COSTA COUNTY CA (CLERICAL & OFFICE)",3066,"CA CONTRA COST","AFSCME 2700 2700","Sep 30, 2005","921190","1500","PUBLIC"
"CONTRA COSTA COUNTY CA (MULTIPLE UNITS)",3067,"CA CONTRA COST"," (CCCEA) 1","Sep 30, 2005","921190","3009","PUBLIC"
"CONTRACT ADMINISTRATION FUND OF NE COLORADO",962,"CO NORTHEAST","PLUMBERS AFL-CIO (PPF) 208","Jun 30, 2006","23822","1900","PRIVATE"
"CONTRACT CLEANERS ASSOCIATION OF ST. LOUIS",820,"MO ST LOUIS","SERVICE EMPLOYEES (SEIU) 50","Dec 31, 2006","56172","2400","PRIVATE"
"CONTRACTORS ASSOCIATION OF E. PA",1026,"PA PHILADELPHIA","TEAMSTERS (IBT) 312/TEAMSTERS (IBT) 384 TRUCK DRIVERS CHAUFFEURS & HELPERS/TEAMSTERS (IBT) 470","Apr 30, 2010","23622","900","PRIVATE"
"CONTRACTORS ASSOCIATION OF E. PA",1027,"PA PHILADELPHIA","TEAMSTERS (IBT) 312/TEAMSTERS (IBT) 384 TRUCK DRIVERS CHAUFFEURS & HELPERS/TEAMSTERS (IBT) 470","Apr 30, 2004","23622","900","PRIVATE"
"CONTRACTORS ASSOCIATION OF E. PA",1248,"PA EASTERN","ENGINEERS, OPERATING, AFL-CIO (IUOE) 542","Apr 30, 2010","23731","3400","PRIVATE"
"CONTRACTORS ASSOCIATION OF E. PA",1249,"PA EASTERN","ENGINEERS, OPERATING, AFL-CIO (IUOE) 542","Apr 30, 2004","23731","3400","PRIVATE"
"CONTRACTORS ASSOCIATION OF E. PA - 29 COUNTIES",1608,"PA EASTERN","UBC,IBT,LIUNA VARIOUS","Apr 30, 2004","23622","1500","PRIVATE"
"CONTRACTORS ASSOCIATION OF E. PA - 5 CNTYS (HVY-HWY)",1609,"PA EASTERN","LABORERS  (LIUNA) 0 EASTERN PENNSYLVANIA","Apr 30, 2004","23731","2500","PRIVATE"
"CONTRACTORS ASSOCIATION OF E. PA - 7 CNTYS (HVY-HWY)",1607,"PA EASTERN"," (UBC) METRO RC","Apr 30, 2006","23731","4500","PRIVATE"
"CONTRACTORS ASSOCIATION OF E. PA (5 COUNTIES)",1611,"PA PHILADELPHIA","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 592","Apr 30, 2006","23731","1000","PRIVATE"
"CONTRACTORS ASSOCIATION OF GREATER NY",435,"NY NEW YORK","TEAMSTERS (IBT) 282","Jun 30, 2013","23622","4700","PRIVATE"
"CONTRACTORS ASSOCIATION OF GREATER NY",1002,"NY NEW YORK","LABORERS  (LIUNA) 66","Jun 30, 2005","23622","1000","PRIVATE"
"CONTRACTORS' ASSOCIATION OF GREATER NY",1560,"NY NASSAU","TEAMSTERS (IBT) 282","Jun 30, 2005","23622","4700","PRIVATE"
"CONTRACTORS' LABOR COUNCIL OF WEST VIRGINIA ( HVY-HWY AGMT)",1648,"WV"," (LIUNA) ","Nov 30, 2006",,,"PRIVATE"
"CONVENTIONAL DAIRY AGMT (OFFICE WORKERS)",68,"CA SOUTHERN","TEAMSTERS (IBT) 166/TEAMSTERS (IBT) 186/TEAMSTERS (IBT) 63","Feb 28, 2007","311514","1800","PRIVATE"
"CONVENTIONAL DAIRY AGMT (PLANT & DRIVERS)",51,"CA SOUTHERN","TEAMSTERS (IBT) 630","Feb 28, 2007","311514","1800","PRIVATE"
"COOK COUNTY (HOUSESTAFF)",4766,"IL","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) 1199 NM HOSPITAL AND HEALTH CARE","Nov 30, 2024",,,"PUBLIC"
"COOK COUNTY (REGISTERED & INSTRUCTIONAL NURSES)",2978,"IL COOK CNTY"," (ANA-I) INA","Nov 30, 2004","622","1500","PUBLIC"
"COOK COUNTY (SERVICE EMPLOYEES)",2988,"IL COOK CNTY","SERVICE EMPLOYEES (SEIU) 73","Nov 30, 2004","622","800","PUBLIC"
"COOK COUNTY HOUSING AUTHORITY (ADMINISTRATIVE / CLERICAL)",4763,"IL","SERVICE EMPLOYEES (SEIU) 73 ","Mar 31, 2024",,,"PUBLIC"
"COOK COUNTY HOUSING AUTHORITY (SERVICE / MAINTENANCE)",4764,"IL","SERVICE EMPLOYEES (SEIU) 73 ","Dec 31, 2023",,,"PUBLIC"
"COOK COUNTY SHERIFF (CORRECTIONS OFFICERS)",3036,"IL COOK CNTY","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) 31 ILLINOIS PUBLIC EMPLOYEES","Jun 30, 2008","622","1500","PUBLIC"
"COOK COUNTY SHERIFF (FUGITIVE UNIT)",4765,"IL","METROPOLITAN ALLIANCE OF POLICE (UNAFF) METRA POLICE ASSOCIATION, CHAPTER 267","Nov 30, 2024",,,"PUBLIC"
"COOK, COUNTY OF",3570,"IL"," (GSEU) 73","Nov 30, 1998",,,"PUBLIC"
"COOK, COUNTY OF",4106,"IL","SERVICE EMPLOYEES (SEIU) 1 ","Nov 30, 2020",,,"PUBLIC"
"COOK, COUNTY OF",4762,"IL","SERVICE EMPLOYEES (SEIU) 1 ","Nov 30, 2020",,,"PUBLIC"
"COOPER LIGHTING SOLUTIONS",1211,"CA","TEAMSTERS, AUTOMOTIVE, INDUSTRIAL, THEME PARK, SERVICE SECTOR 495","Aug 14, 2023",,,"PRIVATE"
"COOPER TIRE & RUBBER CO.",167,"OH FINDLAY","STEELWORKERS, AFL-CIO (USW) 01 207 L","Oct 31, 2008","326211","1000","PRIVATE"
"COOPER TIRE & RUBBER CO.",168,"AR TEXARKANA","STEELWORKERS, AFL-CIO (USW) 12 752 L","Apr 10, 2010","326211","1300","PRIVATE"
"COOPERATIVA DE AHORRO Y CRÉDITO CARIBE COOP. (SPANISH / ESPAÑOL VERSION)",3932,"PR","FOOD AND COMMERCIAL WKRS (UFCW) 481 FED AMERICANA DE EMPLEADOS PUBLICOS","Sep 30, 2022",,,"PRIVATE"
"COPELAND CORP",237,"OH SIDNEY"," (CWA/IUE) 725","Jun 1, 2006","333415","900","PRIVATE"
"COPPER CREEK ROOFING & VARIOUS CONTRACTORS",4394,"WI","CARPENTERS IND (CJA) NORTH CENTRAL STATES REGIONAL COUNCIL","May 31, 2027",,,"PRIVATE"
"CORLEY MANUFACTURING COMPANY",1314,"TN","MACHINISTS AFL-CIO (IAM) 56 SUCCESS","Aug 28, 2022",,,"PRIVATE"
"CORNELL UNIVERSITY",872,"NY ITHACA","AUTO WORKERS AFL-CIO (UAW) 2300","Jun 30, 2012","61131","1200","PRIVATE"
"CORNELL UNIVERSITY (MAINTENANCE & SERVICE)",871,"NY ITHACA","AUTO WORKERS AFL-CIO (UAW) 2300","Jun 30, 2009","61131","1200","PRIVATE"
"CORNING BUILDING COMPANY",7,"NY","TEAMSTERS (IBT) 118 ","Dec 31, 2024",,"6","PRIVATE"
"CORNING INC",177,"NY","STEELWORKERS, AFL-CIO (USW) 04 1000","Jan 20, 2010","327213","1000","PRIVATE"
"CORNING INC (WAS CORNING GLASS WORKS)",178,"NY CORNING"," (AFGW) 1000","Jan 20, 2006","327213","2300","PRIVATE"
"CORPUS CHRISTI ARMY DEPOT",3489,"TX","GOVERNMENT EMPLOYEES AFGE AFL-CIO (AFGE) 2142 DOD","Jan 19, 2007","327213","1774","PUBLIC"
"COSTA SECURITY SERVICES, LLC DBA OPS SECURITY GROUP",4843,"MD","NATIONAL ASSOCIATION OF SPECIAL  (UNAFF) POLICE AND SECURITY OFFICERS","Dec 1, 2028","561612","8","PRIVATE"
"COSTAL INTERNATIONAL SECURITY, INC. (CIS)",1761,"DC"," (CIS) -","Mar 31, 2009","61612","1000","PRIVATE"
"COSTCO WHOLESALE",591,"CA","TEAMSTERS (IBT) 986","Jan 31, 2007","452110","7800","PRIVATE"
"COUNCIL FOR JEWISH ELDERLY (DBA CJE SENIORLIFE)/JEWISH CHILD AND FAMILY SERVICES (DBA JCFS CHICAGO)/JEWISH COMMUNITY CENTERS OF CHICAGO (DBA JCC CHICAGO)/JEWISH UNITED FUND OF METROPOLITAN CHICAGO/JFMC FACILITIES CORPORATION",4168,"IL","SERVICE EMPLOYEES (SEIU) 73 ","Dec 31, 2025",,,"PRIVATE"
"COUNCIL FOR JEWISH ELDERLY (DBA CJE SENIORLIFE)/JEWISH CHILD AND FAMILY SERVICES (DBA JCFS CHICAGO)/JEWISH COMMUNITY CENTERS OF CHICAGO (DBA JCC CHICAGO)/JEWISH UNITED FUND OF METROPOLITAN CHICAGO/JFMC FACILITIES CORPORATION",4254,"IL","SERVICE EMPLOYEES (SEIU) 73 ","Dec 31, 2022",,,"PRIVATE"
"COUNCIL OF UTILITY CONTRACTORS",1245,"NY BUFFALO","LABORERS  (LIUNA) 210","Mar 31, 2005","23731","1800","PRIVATE"
"COUNTRY CARPET, INC",2527,"KS","PAINTERS AFL-CIO (PAT) 2014 LOCAL UNION 2014/PAINTERS AFL-CIO (PAT) 3","Mar 31, 2022",,,"PRIVATE"
"CP INDUSTRIES",2124,"PA","STEELWORKERS, AFL-CIO (USW) 10 5852 S","Aug 15, 2014","332811",,"PRIVATE"
